Group Product - Employer Employee,,,,,,,
29,Medical Equipment Cover,Expenses covered towards below listed medical equipment prescribed or recommended by a healthcare professional up to the Sum Insured i. Ventilator ii. Wheelchair iii. Prosthetic device iv. Suction Machine v. Commode Chairs vi. Infusion pump vii. Continuous Passive motion devices in case of Knee Replacement viii. Oxygen concentrator,Covered (Upto In-Patient SI),Covered (Upto In-Patient SI),"Covers cost of prescribed medical equipment that are medically necessary
Sublimit option: Rs 5000 0 to Rs 50,000",Part Of Base SI,
30,Long Stay Allowance,Lump-sum amount paid to the insured for recovery after hospitalization,"Lump Sum amount- Upto RS 50,000
 in case the insured is hospitalized for upto30 Days","Lump Sum amount- Upto RS 50,000
 in case the insured is hospitalized for upto30 Days",,Over & Above,
31,Hospital Daily Cash Cover,"Daily Cash Benefit for each continuous and completed period of
xx hours of hospitalization
for treatment of an illness or Accident","500 Per Day
Min No of days - 1 Days in a policy year
Continuous and completed period of
1/2/3/4/5 Days of hospitalization
Deductible Options: 0 Days per claim event
Limit per claim event: 1 Day","10,000 Per Day
Max No of days - 90 Days in a policy year
Continuous and completed period of
1/2/3/4/5/6/7/8/9/10 Days of hospitalization of hospitalization
Deductible Options: 3 Days per claim event
Limit per claim event: 30 Day",NA,Over & Above,
32,Expert Opinion,Expert Opinion from our empanelled doctors once in a Policy,Once in a policy year,8 times in a policy year,"Option 1-Domestic 
Option 2- Domestic & International",NA,
33,Virtual Consultation,Unlimited Teleconsultation with General Physician,Unlimited Teleconsultation with General Physician,Unlimited Teleconsultation with General Physician,Within Network Facility,NA,
34,Mind Care Consultation,"Consultation or counselling with a psychologist, within Prudential Preferred Doctor Panel","Teleconsultation
Upto 1 Session per member
Cost per session- Rs 500","Teleconsultation
Upto unlimited times
Cost per session- Rs 10,000",,NA,
36,Compassionate Cover,Reimburses one way economy airfare or one way first class railway ticket for travel in India by an immediate family member to the Place of hospitalization of the insured Person (for family member in case of emergency or accident),1000,1 Lac,NA,Over & Above,
37,Attendant Charges Cover,"Expenses for boarding and lodging of an attendant are reimbursed up to the Sum Insured if the insured’s hospital stay exceeds 5 days, upon submission of original bills as prescribed by the treating doctor",5000,300 Lacs 1 Lacs,Covered on Reimbursement Basis,Part Of Base SI,
38,Bariatric Surgery,Covers Bariatric surgery procedure and complications,5000,300 Lacs,,Part Of Base SI,
39,Enhanced Hospitalization Cover,the base sum insured will be increased by opted percentage in case of hospitalization following an Accident Or Critical Illness,10 50% of the base SI,300% of the base SI,"Choose incident to be covered:
1. Accident
2.Critical Illness
3. Both",Over & Above,
