Section 1 : Personal Accident,,,,,,,
1.1 Personal Accident,,,,,,,
S.No,Name of Benefit NEW,Trigger,"Details of Coverage
", Min Sum Insured,Max Sum Insured,Payout,Change from last TCS signed version
8,Transportation of Imported Medicine,Accident,"Part of Accidental In-Patient Care
Actual Expenses Upto 5% of SI or 10,00,000 whichever is lower",Actual Expense,"5% Of Sum Insured OR
10,00,000
whichever is lower",Indemnity,No Change
9,Home Maker Care Allowance,Accident,Over and above,"INR 10,000","INR 10,00,000", Fixed,No Change
10,Emergency Hotel Stay in case of Accident,Accident,"Part of Accidental In-Patient Care
Option : Limit / Upto S.I.","INR 10,000","INR 10,00,000",Indemnity,No Change
11,Accidental Home Care ,Accident,"• ICU at Home: 10% of Base Sum Insured. Maximum INR 2Lac
• Nursing Care at Home: 5% of Base Sum Insured. Maximum INR 1Lac
• Blood Transfusion: 5% of Base Sum Insured. Maximum INR 1Lac
• Physiotherapy: 5% of Base Sum Insured. Maximum INR 1Lac
• Single Nurse Procedural Visit: 1% of Base Sum Insured. Maximum INR 10,000
• Financial Guidance: One Session","• ICU at Home: 10% of Base Sum Insured. Maximum INR 2Lac
• Nursing Care at Home: 5% of Base Sum Insured. Maximum INR 1Lac
• Blood Transfusion: 5% of Base Sum Insured. Maximum INR 1Lac
• Physiotherapy: 5% of Base Sum Insured. Maximum INR 1Lac
• Single Nurse Procedural Visit: 1% of Base Sum Insured. Maximum INR 10,000
• Financial Guidance: One Session","• ICU at Home: 10% of Base Sum Insured. Maximum INR 2Lac
• Nursing Care at Home: 5% of Base Sum Insured. Maximum INR 1Lac
• Blood Transfusion: 5% of Base Sum Insured. Maximum INR 1Lac
• Physiotherapy: 5% of Base Sum Insured. Maximum INR 1Lac
• Single Nurse Procedural Visit: 1% of Base Sum Insured. Maximum INR 10,000
• Financial Guidance: One Session",Indemnity,"Change in coverage, options modified"
12,Prudential Health Specialist,Accident,Part of Accidental In-Patient Care,N.A.,N.A.,Service,No Change
13,Reconstructive surgery Cover,Accident,New Addition,"Option 1: INR 5,000
Option 2: 0% of PA SI
Option 3: Both","Option 1: INR 50,00,000
Option 2: Option 2: 100% of PA SI
Option 3: Both",Fixed,New Addition
14,Accidental Miscarriage Benefit,Accident,New Addition,"Option 1: INR 5,000
Option 2: 0% of PA SI
Option 3: Both","Option 1: INR 1,00,000
Option 2: Option 2: 100% of PA SI
Option 3: Both",Fixed,New Addition
15,Loss of Activities of Daily Living Benefit,Accident,New Addition,"Option 1: INR 5,000
Option 2: 0% of PA SI
Option 3: Both","Option 1: INR 50,00,000
Option 2: Option 2: 100% of PA SI
Option 3: Both",Fixed,New Addition
16,Orphan Benefit ,Accident,New Addition,"Option 1: INR 5,000
Option 2: 0% of PA SI
Option 3: Both","Option 1: INR 50,00,000
Option 2: Option 2: 100% of PA SI
Option 3: Both",Fixed,New Addition
17,Family Counselling Benefit,Accident,New Addition,"INR 5,000","INR 1,00,000",Fixed,New Addition
18,Terrorism Cover ,Accident,New Addition,Covered (Waives off exclusion),Covered (Waives off exclusion),Service,New Addition
