1,OPD Minor Procedure,,,,,,,,,,,
,24,Knee replacement (per knee)(Surgery for),Procedure,<<70000 to 300000>>,,,,,,,,
,25,Angioplasty /PTCA,Procedure,<<100000 to 300000>>,,,,,,,,
,26,Coronary Artery Diseases,Ailment,<<100000 to 300000>>,,,,,,,,
,27,Chemotheraphy/Treatment of Cancer (Per Session),Ailment,"<<10000 to 1,00,000>>",,,,,,,,
,28,Sinusitis (FESS),Procedure,"<<10000 to 1,00,000>>",,,,,,,,
,29,Benign Prostatic Hypertrophy (TURP)(Surgery for),Procedure,<<30000 to 120000>>,,,,,,,,
,30,Fistulectomy,Procedure,"<<20000 to 1,00,000>>",,,,,,,,
,31,Cholecystectomy,Procedure,"<<30000 to 1,00,000>>",,,,,,,,
,32,Lap Cholecystectomy,Procedure,"<<30000 to 1,00,000>>",,,,,,,,
,33,Septoplasty,Procedure,"<<10000 to 1,00,000>>",,,,,,,,
,34,Tympanoplasty,Procedure,"<<10000 to 1,00.000>>",,,,,,,,
,35,Inpatient Dental Procedure,Procedure,"<<2000 to 1,00,000>>",,,,,,,,
,36,CABG,Procedure,"<<100000 to 4,00,000>>",,,,,,,,
,37,Glaucoma,Ailment,"<<15000 to 1,00,000>>",,,,,,,,
,38,Valve Replacement,Procedure,"<<125000 to 4,000,00>>",,,,,,,,
,39,ACL Tear/ Medial Menisicus Tear,Ailment,"<<40000 to 1,60,000>>",,,,,,,,
,40,Arthroscopic Surgery,Procedure,"<<25000 to 1,00,000>>",,,,,,,,
,41,Endoscopic Procedure(Diagnostic & Therapeutic),Procedure,"<<5000 to 1,00,000>>",,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
8,Heart Cover,,,,,,,,,,,
,Sr No,Listed illnesses,,,,,,,,,,
,1,First Heart Attack of specified severity,,,,,,,,,,
,2,Open Chest CABG,,,,,,,,,,
,3,Open Heart Replacement Or Repair Of Heart Valves,,,,,,,,,,
